Fri Sep 22 13:07:45 2017    utils.Na62Loader_profile.txt

         446797 function calls (441493 primitive calls) in 35.333 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      333    0.003    0.000    0.012    0.000 selectors.py:466(register)
     1604    0.006    0.000    0.011    0.000 abc.py:128(__instancecheck__)
      401    0.002    0.000    0.010    0.000 _collections.py:50(__getitem__)
       66    0.001    0.000    0.010    0.000 httplib.py:609(_read_chunked)
       68    0.010    0.000    0.010    0.000 {method 'connect' of '_socket.socket' objects}
      401    0.002    0.000    0.009    0.000 connectionpool.py:253(_put_conn)
    10445    0.008    0.000    0.009    0.000 {getattr}
        1    0.000    0.000    0.009    0.009 mimetypes.py:347(init)
       52    0.009    0.000    0.009    0.000 api_client.py:586(__deserialize_datatime)
        1    0.000    0.000    0.009    0.009 mimetypes.py:194(read)
     4247    0.009    0.000    0.009    0.000 collections.py:71(__setitem__)
     2283    0.004    0.000    0.009    0.000 _collections.py:293(itermerged)
     3846    0.005    0.000    0.009    0.000 rfc822.py:202(isheader)
      354    0.001    0.000    0.008    0.000 filepost.py:21(iter_field_objects)
        1    0.004    0.004    0.008    0.008 mimetypes.py:205(readfp)
      402    0.005    0.000    0.008    0.000 collections.py:50(__init__)
      405    0.003    0.000    0.008    0.000 Queue.py:107(put)
      802    0.002    0.000    0.008    0.000 connectionpool.py:293(_get_timeout)
      467    0.002    0.000    0.008    0.000 httplib.py:667(_safe_read)
    19786    0.008    0.000    0.008    0.000 {method 'lower' of 'str' objects}
    15267    0.008    0.000    0.008    0.000 {method 'split' of 'str' objects}
      252    0.001    0.000    0.007    0.000 __init__.py:294(loads)
     5313    0.007    0.000    0.007    0.000 {method 'write' of 'cStringIO.StringO' objects}
      236    0.001    0.000    0.007    0.000 fields.py:71(from_tuples)
      252    0.001    0.000    0.007    0.000 decoder.py:359(decode)
      401    0.004    0.000    0.006    0.000 response.py:202(_init_length)
      873    0.003    0.000    0.006    0.000 {method 'encode' of 'str' objects}
      118    0.000    0.000    0.006    0.000 filepost.py:14(choose_boundary)
     3846    0.005    0.000    0.006    0.000 httplib.py:257(addheader)
      236    0.001    0.000    0.006    0.000 fields.py:157(make_multipart)
      333    0.001    0.000    0.006    0.000 selectors.py:565(DefaultSelector)
      684    0.003    0.000    0.006    0.000 api_client.py:212(<dictcomp>)
      401    0.002    0.000    0.006    0.000 Queue.py:150(get)
      333    0.002    0.000    0.006    0.000 selectors.py:192(register)
    15055    0.006    0.000    0.006    0.000 {method 'startswith' of 'str' objects}
      401    0.002    0.000    0.005    0.000 httplib.py:364(__init__)
     6810    0.003    0.000    0.005    0.000 stat.py:40(S_ISDIR)
     1036    0.001    0.000    0.005    0.000 __init__.py:1145(debug)
      118    0.001    0.000    0.005    0.000 uuid.py:582(uuid4)
      806    0.003    0.000    0.005    0.000 threading.py:373(notify)
      401    0.004    0.000    0.005    0.000 mimetools.py:33(parsetype)
      666    0.002    0.000    0.005    0.000 selectors.py:71(_syscall_wrapper)
      333    0.004    0.000    0.005    0.000 selectors.py:459(__init__)
      401    0.002    0.000    0.005    0.000 contextlib.py:21(__exit__)
      283    0.002    0.000    0.005    0.000 api_client.py:208(<dictcomp>)
      237    0.005    0.000    0.005    0.000 {open}
      236    0.001    0.000    0.005    0.000 fields.py:116(_render_parts)
    24140    0.005    0.000    0.005    0.000 {method 'append' of 'list' objects}
     6067    0.004    0.000    0.004    0.000 {method 'find' of 'str' objects}
      467    0.003    0.000    0.004    0.000 socket.py:340(read)
     3622    0.004    0.000    0.004    0.000 _weakrefset.py:70(__contains__)
     3465    0.004    0.000    0.004    0.000 {hasattr}
     3044    0.004    0.000    0.004    0.000 {method 'match' of '_sre.SRE_Pattern' objects}
      807    0.003    0.000    0.004    0.000 threading.py:147(acquire)
       82    0.002    0.000    0.004    0.000 tag_dto.py:256(to_dict)
      401    0.001    0.000    0.004    0.000 re.py:143(search)
      401    0.002    0.000    0.004    0.000 collections.py:149(pop)
      333    0.000    0.000    0.004    0.000 selectors.py:281(__exit__)
     2283    0.001    0.000    0.004    0.000 _collections.py:180(__iter__)
      401    0.002    0.000    0.004    0.000 url.py:22(__new__)
     1687    0.003    0.000    0.004    0.000 _collections.py:150(__getitem__)
     1036    0.002    0.000    0.004    0.000 __init__.py:1360(isEnabledFor)
     2406    0.002    0.000    0.004    0.000 rfc822.py:290(getheader)
      118    0.003    0.000    0.004    0.000 uuid.py:103(__init__)
      252    0.004    0.000    0.004    0.000 decoder.py:370(raw_decode)
    10626    0.004    0.000    0.004    0.000 {method 'seek' of 'cStringIO.StringO' objects}
      118    0.004    0.000    0.004    0.000 {method 'hexdigest' of '_hashlib.HASH' objects}
      333    0.002    0.000    0.004    0.000 selectors.py:505(select)
      333    0.001    0.000    0.004    0.000 selectors.py:534(close)
      354    0.000    0.000    0.003    0.000 fields.py:105(_render_part)
      401    0.001    0.000    0.003    0.000 socket.py:216(makefile)
      802    0.003    0.000    0.003    0.000 response.py:289(_error_catcher)
      803    0.001    0.000    0.003    0.000 threading.py:215(__exit__)
      803    0.002    0.000    0.003    0.000 timeout.py:93(__init__)
      401    0.001    0.000    0.003    0.000 httplib.py:1044(_set_content_length)
21522/21511    0.003    0.000    0.003    0.000 {len}
    11230    0.003    0.000    0.003    0.000 {method 'endswith' of 'str' objects}
      401    0.001    0.000    0.003    0.000 httplib.py:547(close)
      354    0.001    0.000    0.003    0.000 fields.py:22(format_header_param)
      401    0.002    0.000    0.003    0.000 response.py:250(_init_decoder)
      402    0.001    0.000    0.003    0.000 timeout.py:140(from_float)
     2587    0.002    0.000    0.003    0.000 six.py:598(iteritems)
      333    0.000    0.000    0.003    0.000 selectors.py:172(_fileobj_lookup)
      401    0.001    0.000    0.003    0.000 response.py:474(getheader)
      519    0.002    0.000    0.003    0.000 api_client.py:398(parameters_to_tuples)
      401    0.002    0.000    0.003    0.000 response.py:38(assert_header_parsing)
      118    0.001    0.000    0.003    0.000 mimetypes.py:95(guess_type)
      423    0.002    0.000    0.003    0.000 re.py:230(_compile)
      802    0.002    0.000    0.003    0.000 socket.py:280(close)
     2062    0.002    0.000    0.003    0.000 {setattr}
      215    0.002    0.000    0.003    0.000 collections.py:121(values)
     9494    0.003    0.000    0.003    0.000 {method 'strip' of 'str' objects}
     5313    0.003    0.000    0.003    0.000 {method 'read' of 'cStringIO.StringO' objects}
      333    0.001    0.000    0.003    0.000 selectors.py:41(_fileobj_to_fd)
      666    0.003    0.000    0.003    0.000 {method 'control' of 'select.kqueue' objects}
     1062    0.003    0.000    0.003    0.000 {method 'write' of '_io.BytesIO' objects}
      807    0.002    0.000    0.003    0.000 threading.py:187(release)
