Fri Sep 22 16:41:02 2017    utils.Na62Loader_profile.txt

         438463 function calls (432733 primitive calls) in 37.030 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     4268    0.010    0.000    0.010    0.000 collections.py:71(__setitem__)
      401    0.002    0.000    0.010    0.000 encoder.py:186(encode)
      336    0.002    0.000    0.009    0.000 decoder.py:359(decode)
     3867    0.006    0.000    0.009    0.000 rfc822.py:202(isheader)
      401    0.001    0.000    0.009    0.000 connectionpool.py:253(_put_conn)
     9899    0.008    0.000    0.009    0.000 {getattr}
      402    0.006    0.000    0.009    0.000 collections.py:50(__init__)
      354    0.001    0.000    0.009    0.000 filepost.py:21(iter_field_objects)
    15354    0.008    0.000    0.008    0.000 {method 'split' of 'str' objects}
      405    0.003    0.000    0.008    0.000 Queue.py:107(put)
      802    0.002    0.000    0.008    0.000 connectionpool.py:293(_get_timeout)
        2    0.000    0.000    0.008    0.004 __init__.py:71(search_function)
    18133    0.008    0.000    0.008    0.000 {method 'lower' of 'str' objects}
        3    0.007    0.002    0.008    0.003 {__import__}
     5070    0.008    0.000    0.008    0.000 {method 'write' of 'cStringIO.StringO' objects}
      236    0.001    0.000    0.008    0.000 fields.py:71(from_tuples)
      401    0.002    0.000    0.007    0.000 httplib.py:667(_safe_read)
      401    0.005    0.000    0.007    0.000 response.py:202(_init_length)
      396    0.002    0.000    0.007    0.000 selectors.py:192(register)
      396    0.001    0.000    0.007    0.000 selectors.py:565(DefaultSelector)
      401    0.006    0.000    0.006    0.000 encoder.py:212(iterencode)
      118    0.000    0.000    0.006    0.000 filepost.py:14(choose_boundary)
      684    0.003    0.000    0.006    0.000 api_client.py:212(<dictcomp>)
     3867    0.005    0.000    0.006    0.000 httplib.py:257(addheader)
        5    0.000    0.000    0.006    0.001 connection.py:165(connect)
      236    0.001    0.000    0.006    0.000 fields.py:157(make_multipart)
        5    0.000    0.000    0.006    0.001 connection.py:127(_new_conn)
        5    0.000    0.000    0.006    0.001 connection.py:36(create_connection)
    16033    0.006    0.000    0.006    0.000 {method 'startswith' of 'str' objects}
      792    0.003    0.000    0.006    0.000 selectors.py:71(_syscall_wrapper)
      401    0.002    0.000    0.006    0.000 Queue.py:150(get)
      396    0.004    0.000    0.006    0.000 selectors.py:459(__init__)
     6810    0.004    0.000    0.006    0.000 stat.py:40(S_ISDIR)
      118    0.001    0.000    0.006    0.000 uuid.py:582(uuid4)
      336    0.005    0.000    0.005    0.000 decoder.py:370(raw_decode)
      237    0.005    0.000    0.005    0.000 {open}
      401    0.004    0.000    0.005    0.000 mimetools.py:33(parsetype)
      401    0.002    0.000    0.005    0.000 httplib.py:364(__init__)
      973    0.001    0.000    0.005    0.000 __init__.py:1145(debug)
    23984    0.005    0.000    0.005    0.000 {method 'append' of 'list' objects}
