tagname
TileOfl02StatusAdc-RUN2-UPD4-13
TileOfl02CalibLasLin-RUN2-UPD4-13
TileOfl02CalibCisLin-RUN2-UPD4-14
TILE_TEST1
TEST
TDAQ_OLC_LHC_BUNCHDATA
TDAQ_OLC_LHCBackgrounds
TDAQ_OLC_CALIBRATIONS
Spectrometer-StationsT0-NA62HEAD
Spectrometer-StationsT0-NA62CALIB
Spectrometer-ROMezzaninesT0-NA62HEAD
Spectrometer-ROMezzaninesT0-NA62CALIB
Spectrometer-MagicT0-NA62HEAD
Spectrometer-MagicT0-NA62CALIB
Spectrometer-CoarseT0-NA62HEAD
Spectrometer-CoarseT0-NA62CALIB
SctDerivedMonitoring-RUN2-UPD4-005
SCT_CABLING_01
SAV-T0-NA62HEAD
SAV-T0-NA62CALIB
SAV-StationsT0-NA62HEAD
SAV-StationsT0-NA62CALIB
SAV-ROMezzaninesT0-NA62HEAD
SAV-ROMezzaninesT0-NA62CALIB
SAV-CoarseT0-NA62HEAD
SAV-CoarseT0-NA62CALIB
SAC-T0-NA62HEAD
SAC-T0-NA62CALIB
SAC-StationsT0-NA62HEAD
SAC-StationsT0-NA62CALIB
SAC-ROMezzaninesT0-NA62HEAD
SAC-ROMezzaninesT0-NA62CALIB
SAC-CoarseT0-NA62HEAD
SAC-CoarseT0-NA62CALIB
RPCTriggerCMThrEta_RUN12_MC16_03
RPCTriggerCMThrEta_RUN12_MC16_02
RPCTriggerCMThrEta_RUN12_MC16_01
RICH-T0-NA62HEAD
RICH-T0-NA62CALIB
RICH-StationsT0-NA62HEAD
RICH-StationsT0-NA62CALIB
RICH-ROMezzaninesT0-NA62HEAD
RICH-ROMezzaninesT0-NA62CALIB
RICH-CoarseT0-NA62HEAD
RICH-CoarseT0-NA62CALIB
NewCHOD-T0-NA62HEAD
NewCHOD-T0-NA62CALIB
NewCHOD-StationsT0-NA62HEAD
NewCHOD-StationsT0-NA62CALIB
NewCHOD-ROMezzaninesT0-NA62HEAD
NewCHOD-ROMezzaninesT0-NA62CALIB
NewCHOD-CoarseT0-NA62HEAD
NewCHOD-CoarseT0-NA62CALIB
MuonAlignMDTEndCapCAlign-RUN2-ECC_ROLLING_2015_03_01-UPD4-02
MuonAlignMDTEndCapAAlign-RUN2-ECA_ROLLING_2015_03_01-UPD4-02
MuonAlignMDTBarrelAlign-RUN2-BA_ROLLING_11-BLKP-UPD4-00
MuonAlignCscIlines-UPD1-03
MuonAlignCscIlines-UPD1-02
MY_TEST_TAG
MY_TAG_FOR_TESTING
MUV3-T0-NA62HEAD
MUV3-T0-NA62CALIB
MUV3-StationsT0-NA62HEAD
MUV3-StationsT0-NA62CALIB
MUV3-ROMezzaninesT0-NA62HEAD
MUV3-ROMezzaninesT0-NA62CALIB
MUV3-CoarseT0-NA62HEAD
MUV3-CoarseT0-NA62CALIB
MUV2-StationsT0-NA62HEAD
MUV2-StationsT0-NA62CALIB
